Name,MonType1,MonType2,MonType3,Useful_Attributes
Abomasnow,,Ice,,"Ice, Earthquake, Earth Power, Rock Slide, Outrage"
Aerodactyl,Rock,,,"Rock, Aqua Tail, Dragon Claw, Earthquake, Ice Fang, Thunder Fang, Dragon Pulse, Earth Power"
Aggron,,Rock,,"Rock, Aqua Tail, Avalanche, Dragon Claw, Earthquake, Ice Punch, Outrage, Thunder Punch, Dragon Pulse, Earth Power, Ice Beam, Surf, Dragon Rush"
Altaria,Dragon,,Fairy,"Dragon, Fairy, Alluring Voice, Earthquake, Ice Beam, Moonblast, Play Rough, Dazzling Gleam"
Ampharos,Electric,,Dragon,"Electric, Dragon, Dazzling Gleam, Dragon Pulse, Power Gem, Ice Punch, Meteor Beam, Stomping Tantrum, Breaking Swipe"
Arbok,,,,"Aqua Tail, Earthquake, Ice Fang, Rock Slide, Scale Shot, Breaking Swipe, Thunder Fang, Breaking Swipe, Mud Bomb"
Arcanine,,,,"Outrage, Play Rough, Wild Charge, Scorching Sands, Thunder Fang, Dragon Pulse, Scorching Sands"
Arcanine-Hisui,,Rock,,"Rock, Outrage, Wild Charge, Thunder Fang, Dragon Pulse, Scorching Sands"
Archeops,Rock,,,"Rock, Aqua Tail, Dragon Claw, Earthquake, Outrage, Earth Power, Dragon Pulse"
Arctozolt,Electric,Ice,,"Electric, Ice, Freeze Dry, Rock Slide, Stone Edge, Meteor Beam, Hydro Pump, Surf, Stomping Tantrum, Rock Blast"
Armaldo,Rock,,,"Rock, Aqua Jet, Earthquake, Liquidation, Aqua Tail, Earth Power"
Armarouge,,,,"Dragon Pulse, Meteor Beam, Scorching Sands"
Audino,,,Fairy,"Fairy, Dazzling Gleam, Ice Beam, Stomping Tantrum, Surf, Thunder Punch, Wild Charge, Ice Punch"
Aurorus,Rock,Ice,,"Rock, Ice, Freeze Dry, Discharge, Earth Power, Earthquake"
Avalugg,Ice,,,"Ice, Earthquake, Rock Slide, Stone Edge"
Avalugg-Hisui,Ice,Rock,,"Ice, Rock, Earthquake, Surf"
Barbaracle,Rock,Water,,"Rock, Water, Dragon Claw, Earthquake, Ice Beam, Dual Chop"
Barraskewda,Water,,,"Water, Drill Run, Ice Fang, Scale Shot, Ice Beam"
Bastiodon,Rock,,,"Rock, Avalanche, Earthquake, Ice Beam, Scorching Sands, Outrage, Earth Power"
Beartic,Ice,,,"Ice, Aqua Jet, Earthquake, Liquidation, Play Rough, Rock Slide, Stone Edge, Surf, Dive, Brine"
Bewear,,,,"Dragon Claw, Earthquake, Ice Punch, Rock Slide, Thunder Punch, Dual Chop"
